ID,population,DTA,ASI
W22 x TIL03 BC1S4# Line_A001,W22TIL03,77.0,-5.0
W22 x TIL03 BC1S4# Line_A002,W22TIL03,75.0,-4.0
W22 x TIL03 BC1S4# Line_A003,W22TIL03,82.0,-4.0
W22 x TIL03 BC1S4# Line_A004,W22TIL03,74.0,-3.0
W22 x TIL03 BC1S4# Line_A005,W22TIL03,78.0,-3.0
W22 x TIL03 BC1S4# Line_A006,W22TIL03,79.0,-3.0
W22 x TIL03 BC1S4# Line_A007,W22TIL03,76.0,0.0
W22 x TIL03 BC1S4# Line_A009,W22TIL03,80.0,-5.0
W22 x TIL03 BC1S4# Line_A010,W22TIL03,87.0,-4.0
W22 x TIL03 BC1S4# Line_A011,W22TIL03,82.0,-5.0
W22 x TIL03 BC1S4# Line_A014,W22TIL03,84.0,-7.0
W22 x TIL03 BC1S4# Line_A015,W22TIL03,76.0,-3.0
W22 x TIL03 BC1S4# Line_A016,W22TIL03,78.0,0.0
W22 x TIL03 BC1S4# Line_A017,W22TIL03,81.0,-1.0
W22 x TIL03 BC1S4# Line_A018,W22TIL03,84.0,0.0
W22 x TIL03 BC1S4# Line_A019,W22TIL03,86.0,-1.0
W22 x TIL03 BC1S4# Line_A020,W22TIL03,86.0,-1.0
W22 x TIL03 BC1S4# Line_A022,W22TIL03,81.0,-4.0
W22 x TIL03 BC1S4# Line_A024,W22TIL03,80.0,-4.0
W22 x TIL03 BC1S4# Line_A028,W22TIL03,82.0,-5.0
W22 x TIL03 BC1S4# Line_A029,W22TIL03,78.0,-4.0
W22 x TIL03 BC1S4# Line_A031,W22TIL03,83.0,-3.0
W22 x TIL03 BC1S4# Line_A032,W22TIL03,78.0,0.0
W22 x TIL03 BC1S4# Line_A033,W22TIL03,78.0,-4.0
W22 x TIL03 BC1S4# Line_A034,W22TIL03,81.0,-2.0
W22 x TIL03 BC1S4# Line_A035,W22TIL03,87.0,0.0
W22 x TIL03 BC1S4# Line_A036,W22TIL03,86.0,0.0
W22 x TIL03 BC1S4# Line_A037,W22TIL03,82.0,-1.0
W22 x TIL03 BC1S4# Line_A039,W22TIL03,76.0,-3.0
W22 x TIL03 BC1S4# Line_A040,W22TIL03,86.0,-3.0
W22 x TIL03 BC1S4# Line_A042,W22TIL03,91.0,-2.0
W22 x TIL03 BC1S4# Line_A043,W22TIL03,77.0,-2.0
W22 x TIL03 BC1S4# Line_A044,W22TIL03,93.0,1.0
W22 x TIL03 BC1S4# Line_A045,W22TIL03,80.0,-2.0
W22 x TIL03 BC1S4# Line_A046,W22TIL03,71.0,0.0
W22 x TIL03 BC1S4# Line_A048,W22TIL03,78.0,2.0
W22 x TIL03 BC1S4# Line_A049,W22TIL03,86.0,-2.0
W22 x TIL03 BC1S4# Line_A052,W22TIL03,78.0,-4.0
W22 x TIL03 BC1S4# Line_A053,W22TIL03,77.0,-5.0
W22 x TIL03 BC1S4# Line_A054,W22TIL03,86.0,-3.0
W22 x TIL03 BC1S4# Line_A057,W22TIL03,85.0,0.0
W22 x TIL03 BC1S4# Line_A058,W22TIL03,89.0,-7.0
W22 x TIL03 BC1S4# Line_A059,W22TIL03,78.0,0.0
W22 x TIL03 BC1S4# Line_A060,W22TIL03,93.0,-2.0
W22 x TIL03 BC1S4# Line_A061,W22TIL03,81.0,-7.0
W22 x TIL03 BC1S4# Line_A062,W22TIL03,77.0,0.0
W22 x TIL03 BC1S4# Line_A064,W22TIL03,77.0,-1.0
W22 x TIL03 BC1S4# Line_A065,W22TIL03,78.0,-2.0
