ID,population,DTA,ASI
W22 x TIL11 BC1S4# Line_A001,W22TIL11,81.0,0.0
W22 x TIL11 BC1S4# Line_A002,W22TIL11,73.0,0.0
W22 x TIL11 BC1S4# Line_A003,W22TIL11,75.0,-1.0
W22 x TIL11 BC1S4# Line_A004,W22TIL11,80.0,0.0
W22 x TIL11 BC1S4# Line_A005,W22TIL11,89.0,-2.0
W22 x TIL11 BC1S4# Line_A006,W22TIL11,82.0,-2.0
W22 x TIL11 BC1S4# Line_A009,W22TIL11,73.0,0.0
W22 x TIL11 BC1S4# Line_A010,W22TIL11,81.0,-3.0
W22 x TIL11 BC1S4# Line_A011,W22TIL11,76.0,-1.0
W22 x TIL11 BC1S4# Line_A012,W22TIL11,77.0,0.0
W22 x TIL11 BC1S4# Line_A013,W22TIL11,80.0,1.0
W22 x TIL11 BC1S4# Line_A014,W22TIL11,78.0,-1.0
W22 x TIL11 BC1S4# Line_A015,W22TIL11,81.0,-2.0
W22 x TIL11 BC1S4# Line_A017,W22TIL11,77.0,0.0
W22 x TIL11 BC1S4# Line_A018,W22TIL11,84.0,-3.0
W22 x TIL11 BC1S4# Line_A019,W22TIL11,77.0,-2.0
W22 x TIL11 BC1S4# Line_A020,W22TIL11,82.0,-1.0
W22 x TIL11 BC1S4# Line_A021,W22TIL11,78.0,1.0
W22 x TIL11 BC1S4# Line_A022,W22TIL11,83.0,-1.0
W22 x TIL11 BC1S4# Line_A023,W22TIL11,80.0,-3.0
W22 x TIL11 BC1S4# Line_A024,W22TIL11,84.0,-6.0
W22 x TIL11 BC1S4# Line_A025,W22TIL11,75.0,-1.0
W22 x TIL11 BC1S4# Line_A027,W22TIL11,86.0,0.0
W22 x TIL11 BC1S4# Line_A028,W22TIL11,73.0,-1.0
W22 x TIL11 BC1S4# Line_A029,W22TIL11,81.0,-2.0
W22 x TIL11 BC1S4# Line_A030,W22TIL11,78.0,2.0
W22 x TIL11 BC1S4# Line_A031,W22TIL11,79.0,-8.0
W22 x TIL11 BC1S4# Line_A032,W22TIL11,88.0,2.0
W22 x TIL11 BC1S4# Line_A033,W22TIL11,79.0,0.0
W22 x TIL11 BC1S4# Line_A034,W22TIL11,80.0,0.0
W22 x TIL11 BC1S4# Line_A036,W22TIL11,75.0,0.0
W22 x TIL11 BC1S4# Line_A037,W22TIL11,80.0,1.0
W22 x TIL11 BC1S4# Line_A038,W22TIL11,77.0,-2.0
W22 x TIL11 BC1S4# Line_A040,W22TIL11,87.0,-4.0
W22 x TIL11 BC1S4# Line_A041,W22TIL11,81.0,-2.0
W22 x TIL11 BC1S4# Line_A042,W22TIL11,76.0,0.0
W22 x TIL11 BC1S4# Line_A043,W22TIL11,71.0,0.0
W22 x TIL11 BC1S4# Line_A044,W22TIL11,73.0,-1.0
W22 x TIL11 BC1S4# Line_A045,W22TIL11,86.0,0.0
W22 x TIL11 BC1S4# Line_A046,W22TIL11,79.0,-3.0
W22 x TIL11 BC1S4# Line_A047,W22TIL11,82.0,-1.0
W22 x TIL11 BC1S4# Line_A048,W22TIL11,81.0,-2.0
W22 x TIL11 BC1S4# Line_A049,W22TIL11,79.0,0.0
W22 x TIL11 BC1S4# Line_A051,W22TIL11,75.0,-1.0
W22 x TIL11 BC1S4# Line_A052,W22TIL11,74.0,0.0
W22 x TIL11 BC1S4# Line_A053,W22TIL11,76.0,0.0
W22 x TIL11 BC1S4# Line_A054,W22TIL11,77.0,1.0
W22 x TIL11 BC1S4# Line_A055,W22TIL11,87.0,-5.0
W22 x TIL11 BC1S4# Line_A056,W22TIL11,78.0,0.0
W22 x TIL11 BC1S4# Line_A057,W22TIL11,80.0,0.0
W22 x TIL11 BC1S4# Line_A058,W22TIL11,75.0,0.0
W22 x TIL11 BC1S4# Line_A059,W22TIL11,77.0,0.0
W22 x TIL11 BC1S4# Line_A060,W22TIL11,84.0,-3.0
W22 x TIL11 BC1S4# Line_A061,W22TIL11,75.0,0.0
W22 x TIL11 BC1S4# Line_A063,W22TIL11,81.0,-6.0
W22 x TIL11 BC1S4# Line_A064,W22TIL11,84.0,-2.0
W22 x TIL11 BC1S4# Line_A065,W22TIL11,81.0,0.0
W22 x TIL11 BC1S4# Line_A066,W22TIL11,82.0,-1.0
W22 x TIL11 BC1S4# Line_A067,W22TIL11,81.0,-6.0
W22 x TIL11 BC1S4# Line_A068,W22TIL11,87.0,-2.0
W22 x TIL11 BC1S4# Line_A069,W22TIL11,77.0,0.0
W22 x TIL11 BC1S4# Line_A070,W22TIL11,79.0,0.0
W22 x TIL11 BC1S4# Line_A071,W22TIL11,75.0,-5.0
W22 x TIL11 BC1S4# Line_A073,W22TIL11,80.0,1.0
W22 x TIL11 BC1S4# Line_A074,W22TIL11,74.0,0.0
W22 x TIL11 BC1S4# Line_B001,W22TIL11,78.0,-1.0
W22 x TIL11 BC1S4# Line_B002,W22TIL11,84.0,2.0
W22 x TIL11 BC1S4# Line_B004,W22TIL11,73.0,-2.0
W22 x TIL11 BC1S4# Line_B006,W22TIL11,77.0,-2.0
W22 x TIL11 BC1S4# Line_B007,W22TIL11,79.0,-1.0
W22 x TIL11 BC1S4# Line_B008,W22TIL11,76.0,-3.0
W22 x TIL11 BC1S4# Line_B010,W22TIL11,75.0,1.0
W22 x TIL11 BC1S4# Line_B011,W22TIL11,79.0,0.0
W22 x TIL11 BC1S4# Line_B012,W22TIL11,74.0,-2.0
W22 x TIL11 BC1S4# Line_B013,W22TIL11,80.0,0.0
W22 x TIL11 BC1S4# Line_B014,W22TIL11,80.0,0.0
W22 x TIL11 BC1S4# Line_B016,W22TIL11,81.0,0.0
W22 x TIL11 BC1S4# Line_B017,W22TIL11,80.0,0.0
W22 x TIL11 BC1S4# Line_B018,W22TIL11,75.0,-1.0
W22 x TIL11 BC1S4# Line_B019,W22TIL11,75.0,0.0
W22 x TIL11 BC1S4# Line_B020,W22TIL11,78.0,1.0
W22 x TIL11 BC1S4# Line_B021,W22TIL11,84.0,-9.0
W22 x TIL11 BC1S4# Line_B022,W22TIL11,76.0,-1.0
W22 x TIL11 BC1S4# Line_B023,W22TIL11,84.0,-2.0
W22 x TIL11 BC1S4# Line_B024,W22TIL11,76.0,0.0
W22 x TIL11 BC1S4# Line_B027,W22TIL11,81.0,-3.0
W22 x TIL11 BC1S4# Line_B029,W22TIL11,81.0,0.0
W22 x TIL11 BC1S4# Line_B030,W22TIL11,75.0,-1.0
W22 x TIL11 BC1S4# Line_B031,W22TIL11,84.0,0.0
W22 x TIL11 BC1S4# Line_B032,W22TIL11,76.0,-3.0
W22 x TIL11 BC1S4# Line_B033,W22TIL11,79.0,0.0
W22 x TIL11 BC1S4# Line_B034,W22TIL11,79.0,-5.0
