ID,population,DTA,ASI
W22 x TIL14 BC1S4# Line_A001,W22TIL14,88.0,-2.0
W22 x TIL14 BC1S4# Line_A002,W22TIL14,95.0,-1.0
W22 x TIL14 BC1S4# Line_A003,W22TIL14,80.0,-1.0
W22 x TIL14 BC1S4# Line_A005,W22TIL14,86.0,-1.0
W22 x TIL14 BC1S4# Line_A006,W22TIL14,81.0,0.0
W22 x TIL14 BC1S4# Line_A007,W22TIL14,90.0,-4.0
W22 x TIL14 BC1S4# Line_A008,W22TIL14,88.0,-2.0
W22 x TIL14 BC1S4# Line_A009,W22TIL14,87.0,-1.0
W22 x TIL14 BC1S4# Line_A010,W22TIL14,87.0,1.0
W22 x TIL14 BC1S4# Line_A012,W22TIL14,83.0,-3.0
W22 x TIL14 BC1S4# Line_A014,W22TIL14,84.0,-4.0
W22 x TIL14 BC1S4# Line_A015,W22TIL14,94.0,-4.0
W22 x TIL14 BC1S4# Line_A016,W22TIL14,97.0,3.0
W22 x TIL14 BC1S4# Line_A017,W22TIL14,80.0,-2.0
W22 x TIL14 BC1S4# Line_A018,W22TIL14,81.0,-3.0
W22 x TIL14 BC1S4# Line_A019,W22TIL14,94.0,-1.0
W22 x TIL14 BC1S4# Line_A020,W22TIL14,92.0,0.0
W22 x TIL14 BC1S4# Line_A021,W22TIL14,88.0,-1.0
W22 x TIL14 BC1S4# Line_A022,W22TIL14,87.0,-1.0
W22 x TIL14 BC1S4# Line_A023,W22TIL14,85.0,-4.0
W22 x TIL14 BC1S4# Line_A024,W22TIL14,81.0,-3.0
W22 x TIL14 BC1S4# Line_A025,W22TIL14,85.0,0.0
W22 x TIL14 BC1S4# Line_A027,W22TIL14,86.0,-2.0
W22 x TIL14 BC1S4# Line_A029,W22TIL14,95.0,-3.0
W22 x TIL14 BC1S4# Line_A030,W22TIL14,101.0,-9.0
W22 x TIL14 BC1S4# Line_A033,W22TIL14,84.0,-3.0
W22 x TIL14 BC1S4# Line_A034,W22TIL14,92.0,-3.0
W22 x TIL14 BC1S4# Line_A035,W22TIL14,86.0,-2.0
W22 x TIL14 BC1S4# Line_A036,W22TIL14,85.0,0.0
W22 x TIL14 BC1S4# Line_A037,W22TIL14,77.0,-3.0
W22 x TIL14 BC1S4# Line_A038,W22TIL14,82.0,-2.0
W22 x TIL14 BC1S4# Line_A039,W22TIL14,87.0,-1.0
W22 x TIL14 BC1S4# Line_A040,W22TIL14,95.0,0.0
W22 x TIL14 BC1S4# Line_A041,W22TIL14,87.0,-3.0
W22 x TIL14 BC1S4# Line_A042,W22TIL14,80.0,-1.0
W22 x TIL14 BC1S4# Line_A044,W22TIL14,75.0,-1.0
W22 x TIL14 BC1S4# Line_A045,W22TIL14,86.0,-2.0
W22 x TIL14 BC1S4# Line_A046,W22TIL14,87.0,-1.0
W22 x TIL14 BC1S4# Line_A047,W22TIL14,82.0,-1.0
W22 x TIL14 BC1S4# Line_A048,W22TIL14,81.0,-3.0
W22 x TIL14 BC1S4# Line_A049,W22TIL14,86.0,-2.0
W22 x TIL14 BC1S4# Line_A050,W22TIL14,91.0,-2.0
W22 x TIL14 BC1S4# Line_A051,W22TIL14,90.0,-1.0
W22 x TIL14 BC1S4# Line_A052,W22TIL14,92.0,-5.0
W22 x TIL14 BC1S4# Line_A053,W22TIL14,79.0,-1.0
W22 x TIL14 BC1S4# Line_A054,W22TIL14,81.0,-2.0
W22 x TIL14 BC1S4# Line_A055,W22TIL14,78.0,-2.0
W22 x TIL14 BC1S4# Line_A057,W22TIL14,81.0,0.0
W22 x TIL14 BC1S4# Line_A058,W22TIL14,81.0,-4.0
W22 x TIL14 BC1S4# Line_A059,W22TIL14,83.0,-3.0
W22 x TIL14 BC1S4# Line_A060,W22TIL14,90.0,-4.0
W22 x TIL14 BC1S4# Line_A061,W22TIL14,90.0,-3.0
W22 x TIL14 BC1S4# Line_A063,W22TIL14,91.0,-4.0
W22 x TIL14 BC1S4# Line_A064,W22TIL14,87.0,-1.0
W22 x TIL14 BC1S4# Line_A065,W22TIL14,81.0,-3.0
W22 x TIL14 BC1S4# Line_A067,W22TIL14,86.0,-9.0
W22 x TIL14 BC1S4# Line_A068,W22TIL14,83.0,-4.0
W22 x TIL14 BC1S4# Line_A069,W22TIL14,99.0,-7.0
W22 x TIL14 BC1S4# Line_A070,W22TIL14,87.0,-4.0
W22 x TIL14 BC1S4# Line_A071,W22TIL14,82.0,-3.0
W22 x TIL14 BC1S4# Line_A072,W22TIL14,85.0,1.0
W22 x TIL14 BC1S4# Line_A073,W22TIL14,82.0,-1.0
W22 x TIL14 BC1S4# Line_A074,W22TIL14,80.0,-2.0
W22 x TIL14 BC1S4# Line_A075,W22TIL14,82.0,-4.0
W22 x TIL14 BC1S4# Line_A076,W22TIL14,95.0,-5.0
W22 x TIL14 BC1S4# Line_A078,W22TIL14,82.0,-2.0
W22 x TIL14 BC1S4# Line_A079,W22TIL14,81.0,-2.0
W22 x TIL14 BC1S4# Line_A080,W22TIL14,88.0,-1.0
W22 x TIL14 BC1S4# Line_A081,W22TIL14,87.0,-7.0
W22 x TIL14 BC1S4# Line_A082,W22TIL14,85.0,-3.0
W22 x TIL14 BC1S4# Line_A083,W22TIL14,85.0,-3.0
W22 x TIL14 BC1S4# Line_A084,W22TIL14,90.0,-4.0
W22 x TIL14 BC1S4# Line_A085,W22TIL14,86.0,-5.0
W22 x TIL14 BC1S4# Line_A086,W22TIL14,81.0,-2.0
W22 x TIL14 BC1S4# Line_A087,W22TIL14,96.0,1.0
