ID,population,days2anthesis,days2silk,asi
Z025E0001,25,74.7221,79.8424,4.5535
Z025E0002,25,79.1466,81.5758,3.1097
Z025E0003,25,81.5511,87.3329,4.8273
Z025E0004,25,76.9486,80.3347,2.9279
Z025E0005,25,75.2737,77.3567,2.2142
Z025E0006,25,78.8054,82.1594,2.5854
Z025E0007,25,78.5588,79.947,1.5893
Z025E0008,25,77.3895,79.8306,2.5365
Z025E0009,25,76.6197,76.7286,0.7563
Z025E0010,25,79.7483,82.9889,3.3047
Z025E0011,25,78.1015,80.4277,2.588
Z025E0015,25,76.8985,79.3217,2.5033
Z025E0016,25,79.2372,79.9742,0.7836
Z025E0017,25,77.5867,80.7338,3.1347
Z025E0018,25,77.3345,80.214,2.9792
Z025E0019,25,74.5819,77.5225,2.5129
Z025E0020,25,78.326,80.297,2.0277
Z025E0021,25,75.3546,78.4892,2.8885
Z025E0022,25,75.0393,76.4729,1.7031
Z025E0023,25,79.1066,79.5651,0.8182
Z025E0024,25,74.9961,76.0265,1.1562
Z025E0025,25,78.3578,81.1709,2.5717
Z025E0026,25,76.3892,78.7427,1.8666
Z025E0027,25,78.9953,82.9815,3.6284
Z025E0028,25,76.8319,83.7948,6.029
Z025E0029,25,76.0833,77.8921,1.5354
Z025E0030,25,78.5751,80.3286,1.3604
Z025E0032,25,76.96,79.3859,2.2987
Z025E0034,25,77.0462,78.3059,1.0771
Z025E0035,25,78.4809,82.6683,4.033
Z025E0036,25,78.6635,82.442,3.5516
Z025E0037,25,77.593,80.1086,2.8549
Z025E0038,25,76.1831,77.835,1.9246
Z025E0039,25,77.9681,79.4586,1.3241
Z025E0040,25,78.2326,80.6197,2.3886
Z025E0041,25,77.3649,79.9007,2.5695
Z025E0042,25,79.7666,83.0197,3.2574
Z025E0043,25,77.5978,80.8276,3.0665
Z025E0044,25,78.0515,80.5336,2.4811
Z025E0045,25,75.8736,76.3266,0.6774
Z025E0046,25,78.0113,82.3622,4.0725
Z025E0047,25,76.7992,79.6822,3.2052
Z025E0048,25,73.7062,78.1897,4.0775
Z025E0049,25,78.6505,81.7225,3.1092
Z025E0050,25,81.5772,84.3913,3.2101
Z025E0051,25,77.9425,80.8982,2.7142
Z025E0052,25,77.528,79.3209,1.7908
Z025E0053,25,78.3752,80.6281,1.9084
Z025E0054,25,78.3003,80.9452,2.8481
Z025E0055,25,77.5052,79.0324,1.6524
Z025E0056,25,78.1381,81.5204,2.6741
Z025E0057,25,80.931,85.4643,3.8142
Z025E0058,25,78.8696,85.418,6.4675
Z025E0059,25,76.1914,79.1783,2.8365
Z025E0060,25,77.1478,79.7602,2.795
Z025E0061,25,76.6154,80.4513,3.3247
Z025E0063,25,78.6195,81.6309,3.1192
Z025E0064,25,78.2473,79.5437,1.3083
Z025E0065,25,81.0724,84.0782,3.0699
Z025E0066,25,75.4564,79.397,3.4223
Z025E0067,25,75.8693,77.9975,1.8622
Z025E0068,25,83.7273,89.2925,5.3268
Z025E0069,25,77.0549,78.8492,1.782
Z025E0070,25,77.7831,80.2245,2.326
Z025E0071,25,76.0511,78.6457,2.4796
Z025E0073,25,77.7495,81.9466,4.0615
Z025E0074,25,77.7028,80.9654,3.3021
Z025E0075,25,78.6934,80.2991,1.9231
Z025E0076,25,77.5716,79.9223,2.638
Z025E0077,25,79.2124,80.6163,2.1826
Z025E0078,25,80.738,84.1377,3.6968
Z025E0079,25,78.1854,81.9035,3.2712
Z025E0080,25,79.1314,81.6172,2.3936
Z025E0081,25,76.1975,79.864,3.5322
Z025E0082,25,79.3969,80.9588,1.7186
Z025E0083,25,78.9955,79.9925,1.0456
Z025E0084,25,77.8722,78.9085,1.7975
Z025E0085,25,79.7794,82.9437,3.5381
Z025E0086,25,75.008,77.2344,2.7601
Z025E0087,25,76.6198,80.3643,2.992
Z025E0088,25,79.8016,83.8107,3.6816
Z025E0089,25,77.3301,82.4267,4.3882
Z025E0090,25,80.9509,84.8306,3.5724
Z025E0091,25,77.5374,79.2158,1.7586
Z025E0092,25,78.5382,84.5041,5.5799
Z025E0093,25,76.4895,79.8691,3.2869
Z025E0094,25,80.9523,83.0698,2.4351
Z025E0095,25,75.532,76.4547,1.2575
Z025E0096,25,79.4828,84.542,4.4473
Z025E0099,25,81.3749,87.1798,5.1549
Z025E0100,25,85.5156,87.0613,2.2783
Z025E0101,25,78.7099,82.5718,3.9674
Z025E0102,25,78.4561,79.9466,1.4238
Z025E0103,25,77.2783,77.8154,0.5863
Z025E0104,25,78.249,82.4467,3.9036
Z025E0105,25,76.6238,79.4018,2.9572
Z025E0106,25,80.0525,82.5091,2.4886
Z025E0107,25,82.4812,85.5801,2.7395
Z025E0108,25,75.1074,79.5991,4.0119
Z025E0109,25,80.9922,84.6261,4.3636
Z025E0110,25,79.3057,82.7585,3.433
Z025E0111,25,77.5968,80.8241,3.1473
Z025E0112,25,78.7031,80.2792,2.0474
Z025E0113,25,78.1952,80.6085,3.019
Z025E0114,25,83.4168,85.5079,1.9013
Z025E0115,25,76.8716,78.4292,1.8926
Z025E0116,25,79.4476,83.4171,4.0299
Z025E0117,25,78.1968,81.138,3.074
Z025E0118,25,77.8016,81.3357,3.4858
Z025E0119,25,77.7957,80.4047,3.0269
Z025E0120,25,79.9852,84.6589,4.3142
Z025E0121,25,84.4477,86.6192,2.4712
Z025E0122,25,79.3573,80.8883,1.1998
Z025E0123,25,75.7742,77.7031,1.9153
Z025E0124,25,77.7289,81.9096,4.389
Z025E0125,25,77.2629,81.525,4.4565
Z025E0126,25,78.3893,80.0934,1.7136
Z025E0128,25,78.2646,78.2742,0.3358
Z025E0129,25,77.2773,79.9738,2.5746
Z025E0130,25,81.746,83.2227,1.2533
Z025E0131,25,75.9511,79.7898,3.5269
Z025E0132,25,75.0705,76.2954,1.6311
Z025E0133,25,77.7719,82.1787,4.1158
Z025E0135,25,75.2669,76.5886,1.3055
Z025E0136,25,77.0412,79.7567,3.0747
Z025E0137,25,78.3808,80.9146,2.8704
