ID,population,days2anthesis,days2silk,asi
Z012E0001,12,75.1591,78.5426,3.0402
Z012E0002,12,75.0672,77.6474,2.1456
Z012E0003,12,75.1053,76.239,1.3286
Z012E0004,12,81.2615,83.0046,1.6497
Z012E0005,12,76.6626,80.0669,2.7228
Z012E0006,12,81.986,84.5677,1.8327
Z012E0007,12,80.5641,82.5399,1.9161
Z012E0008,12,74.2827,75.7933,1.0768
Z012E0009,12,77.2226,78.9615,1.8213
Z012E0010,12,80.3484,83.4891,2.8779
Z012E0011,12,77.8789,78.8809,1.5786
Z012E0012,12,77.9615,80.2836,2.3257
Z012E0013,12,76.3205,78.6729,2.0984
Z012E0014,12,76.5033,80.0865,2.9623
Z012E0015,12,77.3903,79.6906,1.8392
Z012E0016,12,75.6208,78.2952,2.451
Z012E0017,12,77.492,78.4133,0.5105
Z012E0018,12,80.4423,82.8616,2.2981
Z012E0019,12,79.9417,84.9135,3.9795
Z012E0020,12,77.6402,81.1514,2.7584
Z012E0021,12,78.642,80.4055,1.2894
Z012E0022,12,83.1215,84.9302,1.6552
Z012E0023,12,78.8277,81.3075,2.0646
Z012E0024,12,79.4881,83.2739,2.9744
Z012E0025,12,79.7537,84.2948,3.4961
Z012E0026,12,76.9384,78.9452,1.7734
Z012E0027,12,84.4676,87.7725,2.4447
Z012E0028,12,81.2248,83.0876,1.6851
Z012E0029,12,79.8352,81.6964,1.8008
Z012E0030,12,78.6386,83.0264,3.8862
Z012E0031,12,78.472,81.0715,2.3688
Z012E0032,12,86.1317,89.0678,1.9471
Z012E0033,12,79.4033,80.5223,1.288
Z012E0034,12,77.0884,79.3147,2.1035
Z012E0035,12,81.8457,85.0374,2.8528
Z012E0036,12,80.0188,83.1279,2.8085
Z012E0037,12,81.2015,83.0452,1.622
Z012E0038,12,79.0996,81.6103,2.135
Z012E0039,12,79.815,82.0397,1.8012
Z012E0040,12,81.4598,85.0504,2.8224
Z012E0041,12,77.0296,79.5922,1.9861
Z012E0042,12,80.6454,82.6522,1.8415
Z012E0043,12,78.0206,79.2983,1.2803
Z012E0044,12,82.975,84.8583,1.5099
Z012E0045,12,80.597,83.8387,2.5648
Z012E0046,12,76.9701,79.9777,2.7215
Z012E0047,12,79.8462,82.1657,2.0717
Z012E0048,12,78.8923,80.901,1.9937
Z012E0049,12,82.5133,84.8979,2.1374
Z012E0050,12,79.1657,83.2634,3.3451
Z012E0051,12,81.758,86.0098,3.5163
Z012E0052,12,85.7421,88.1086,2.4682
Z012E0053,12,82.7426,84.5532,1.9316
Z012E0054,12,78.4468,80.2541,1.5796
Z012E0056,12,78.5525,81.9924,2.4064
Z012E0057,12,78.7301,80.6879,1.8862
Z012E0058,12,83.3909,86.4357,2.3871
Z012E0059,12,77.3662,79.5564,1.9293
Z012E0060,12,76.2688,78.6713,1.9918
Z012E0061,12,82.7296,86.7043,3.4642
Z012E0062,12,82.1232,85.4369,2.7809
Z012E0063,12,78.3754,80.9119,2.1001
Z012E0064,12,77.8892,81.7331,3.1995
Z012E0065,12,76.0951,77.5353,1.4176
Z012E0067,12,77.6671,80.6905,2.5845
Z012E0068,12,75.4321,78.9672,3.0797
Z012E0069,12,78.6152,81.3369,2.4841
Z012E0070,12,77.7286,82.0117,3.3582
Z012E0071,12,81.571,86.5079,4.2144
Z012E0072,12,83.4762,85.4517,2.1683
Z012E0073,12,83.6442,88.1787,3.5538
Z012E0074,12,74.9118,78.6141,3.074
Z012E0075,12,79.9415,83.1687,2.4
Z012E0076,12,79.5405,82.7573,3.0329
Z012E0077,12,76.1935,77.6839,1.3394
Z012E0078,12,77.3496,79.5823,1.6177
Z012E0079,12,85.4948,88.0393,2.251
Z012E0080,12,78.7183,81.4999,2.5042
Z012E0081,12,81.4401,83.4642,1.7175
Z012E0082,12,76.6015,78.6637,1.8135
Z012E0083,12,80.6073,83.5072,2.4477
Z012E0084,12,78.38,79.885,1.5716
Z012E0085,12,78.7306,80.6884,1.7128
Z012E0086,12,80.345,82.9295,2.3667
Z012E0087,12,81.3104,85.2045,3.1365
Z012E0088,12,81.9324,86.5933,3.4599
Z012E0089,12,79.6976,82.2966,2.4697
Z012E0090,12,77.0037,77.5428,0.8894
Z012E0091,12,77.3111,79.7138,2.1029
Z012E0092,12,75.4193,76.4423,1.0405
Z012E0093,12,83.7918,85.2867,1.3193
Z012E0094,12,83.9797,88.8279,3.8997
Z012E0095,12,76.9205,79.9234,2.6301
Z012E0096,12,81.3009,85.1403,3.1363
Z012E0097,12,77.781,81.4019,2.8846
Z012E0098,12,83.3068,84.1663,0.6689
Z012E0099,12,79.4408,83.2205,3.0356
Z012E0100,12,78.2445,80.9429,2.4312
Z012E0101,12,77.9103,80.3454,2.1616
Z012E0102,12,77.2372,78.4294,1.1892
Z012E0103,12,79.0686,79.2186,0.5755
Z012E0104,12,77.6359,78.4704,1.1627
Z012E0106,12,77.573,79.6277,1.9939
Z012E0107,12,77.3614,79.7495,2.2855
Z012E0108,12,75.2424,78.6861,2.9623
Z012E0109,12,81.7959,83.3076,1.7792
Z012E0110,12,81.2995,84.5006,2.5939
Z012E0111,12,75.2827,77.9045,2.0591
Z012E0112,12,79.0118,81.6756,2.5384
Z012E0113,12,75.8925,78.1369,1.8609
Z012E0114,12,76.0915,78.2176,1.8665
Z012E0115,12,77.8718,80.9526,2.9142
Z012E0116,12,75.6482,79.5985,2.8704
Z012E0117,12,81.579,81.914,1.0262
Z012E0118,12,80.384,82.7957,2.3705
Z012E0119,12,76.0097,79.1878,2.8187
Z012E0120,12,81.8155,84.0715,1.9704
Z012E0121,12,77.8997,79.8881,1.8688
Z012E0122,12,81.5714,83.0788,1.636
Z012E0123,12,80.937,83.3991,2.1785
Z012E0124,12,80.7825,83.1061,2.158
Z012E0125,12,82.2783,89.1548,5.1503
Z012E0126,12,78.2107,80.4538,2.0835
Z012E0127,12,83.1734,85.5555,2.5466
Z012E0128,12,76.7406,78.3007,1.6689
Z012E0129,12,80.6429,83.1286,2.401
Z012E0130,12,82.7105,88.6374,4.7228
Z012E0131,12,80.8981,85.5113,3.1765
Z012E0132,12,79.3402,82.1476,2.4974
Z012E0133,12,78.1038,80.6641,2.4171
Z012E0134,12,76.2547,78.0977,1.8308
Z012E0135,12,81.3735,84.3304,2.6069
Z012E0136,12,76.833,80.475,3.0774
Z012E0137,12,86.5134,89.1353,2.6826
Z012E0138,12,78.6076,80.4914,1.9322
Z012E0139,12,78.9115,81.8916,2.6667
Z012E0141,12,82.6265,84.8786,1.9822
Z012E0142,12,80.1589,82.2139,2.1343
Z012E0143,12,78.0314,79.0857,1.3359
Z012E0144,12,79.87,82.3723,2.6072
Z012E0145,12,77.0386,80.369,2.7109
Z012E0146,12,78.0189,81.2919,2.7776
Z012E0147,12,84.0987,85.0263,1.1473
Z012E0148,12,79.6793,85.0253,3.5497
Z012E0149,12,78.1671,80.841,2.228
Z012E0150,12,80.584,83.7088,2.6148
Z012E0151,12,78.9765,79.6061,0.966
Z012E0152,12,85.9874,89.0464,2.5004
Z012E0153,12,75.6019,76.7052,1.0783
Z012E0154,12,83.6425,83.8941,0.3493
Z012E0155,12,76.3748,78.532,1.9675
Z012E0157,12,81.2578,83.4725,1.8178
Z012E0158,12,84.536,87.2144,2.1304
Z012E0159,12,81.2967,83.819,2.0744
Z012E0160,12,82.2808,84.2556,1.8798
Z012E0161,12,78.7735,81.3078,2.0217
Z012E0163,12,79.0774,81.1324,1.8538
Z012E0164,12,81.2056,85.7566,3.2943
Z012E0165,12,77.3249,80.7829,3.0264
Z012E0166,12,83.2685,86.846,3.1752
Z012E0167,12,81.2347,83.9976,2.4625
Z012E0168,12,78.2676,80.5025,1.7607
Z012E0169,12,81.9398,84.1561,1.7766
Z012E0170,12,79.9831,82.3685,1.8867
Z012E0171,12,78.1968,81.3249,2.7328
Z012E0172,12,79.2169,81.3318,1.7854
Z012E0173,12,77.3779,80.9465,2.8235
Z012E0174,12,79.6061,82.7169,2.546
Z012E0175,12,83.0979,86.8081,3.4361
Z012E0176,12,79.5493,80.8192,1.1339
Z012E0177,12,79.3277,80.7135,2.1665
Z012E0178,12,77.5032,80.784,3.1297
Z012E0180,12,77.0365,79.2194,2.079
Z012E0181,12,77.0776,79.8552,2.6679
Z012E0182,12,78.215,80.5856,1.9261
Z012E0183,12,80.0272,84.4374,3.5761
Z012E0184,12,75.1247,76.653,1.4896
Z012E0185,12,79.5932,82.2703,2.4139
Z012E0186,12,78.9625,82.0661,2.8356
Z012E0187,12,75.2493,76.5962,1.3406
