ID,population,days2anthesis,days2silk,asi
Z014E0001,14,76.9741,78.8807,1.8907
Z014E0002,14,77.4061,79.4214,1.7203
Z014E0003,14,77.3377,79.635,1.8122
Z014E0004,14,75.3708,76.4946,1.3505
Z014E0005,14,78.4326,80.3037,1.807
Z014E0006,14,73.8478,76.1733,2.3262
Z014E0007,14,77.1697,78.939,1.9289
Z014E0008,14,76.0597,79.3611,2.8211
Z014E0009,14,75.0275,77.9231,2.4909
Z014E0010,14,78.0744,79.6213,1.1741
Z014E0011,14,75.345,76.2109,0.974
Z014E0012,14,76.8169,80.1245,2.7651
Z014E0013,14,76.2343,78.8593,2.5104
Z014E0014,14,76.4629,78.6722,2.0658
Z014E0015,14,76.7728,79.8583,2.9371
Z014E0016,14,78.6628,79.6522,0.8389
Z014E0017,14,78.1903,81.6944,3.0467
Z014E0018,14,77.2583,81.0644,3.0674
Z014E0019,14,75.862,78.2633,1.991
Z014E0020,14,77.3499,79.7283,2.204
Z014E0021,14,78.0599,79.3994,1.3195
Z014E0022,14,77.188,78.6032,1.5201
Z014E0023,14,77.9715,80.7929,2.333
Z014E0024,14,76.6444,79.088,2.105
Z014E0025,14,74.9142,77.6041,2.4955
Z014E0026,14,77.9195,81.668,3.2276
Z014E0027,14,76.1184,78.2579,2.0189
Z014E0028,14,75.6358,76.0226,1.1248
Z014E0029,14,77.3796,78.3093,1.4323
Z014E0030,14,77.3188,80.4377,2.6567
Z014E0031,14,73.4461,75.3963,2.0196
Z014E0032,14,75.4528,76.6679,1.3311
Z014E0033,14,76.2589,78.1277,1.7161
Z014E0034,14,76.0619,78.2851,2.4366
Z014E0036,14,74.8122,77.6596,2.7127
Z014E0038,14,77.9425,81.1015,2.8656
Z014E0039,14,73.3524,74.4262,1.2529
Z014E0040,14,76.1145,77.1496,1.3577
Z014E0041,14,76.3282,79.086,2.3471
Z014E0042,14,74.9752,77.8308,2.5613
Z014E0043,14,77.2541,79.2173,1.9669
Z014E0044,14,78.3887,81.5408,2.7483
Z014E0045,14,78.7869,82.9402,3.6004
Z014E0046,14,76.6469,79.1194,2.0071
