ID,population,days2anthesis,days2silk,asi
Z006E0001,6,74.8269,77.3951,2.3946
Z006E0002,6,76.9939,77.8521,0.8175
Z006E0003,6,77.1501,79.8092,2.5914
Z006E0005,6,76.1009,78.8697,2.3411
Z006E0006,6,75.756,77.9195,1.9984
Z006E0007,6,75.2273,76.6176,1.3161
Z006E0008,6,80.0506,78.62,-1.1952
Z006E0009,6,75.8941,79.3173,3.1341
Z006E0010,6,78.7581,79.9009,0.7776
Z006E0011,6,78.3614,80.0695,1.6697
Z006E0012,6,80.9018,81.9477,0.7144
Z006E0013,6,75.5634,77.0863,1.5031
Z006E0014,6,77.1518,77.6864,0.5417
Z006E0015,6,75.5104,78.3126,2.3823
Z006E0016,6,77.7937,78.1618,0.6453
Z006E0017,6,80.1706,80.2878,0.1447
Z006E0018,6,76.9427,77.8966,0.8853
Z006E0020,6,78.7261,80.4222,1.344
Z006E0023,6,76.0179,78.4298,1.9323
Z006E0024,6,80.1216,83.1552,2.8295
Z006E0025,6,77.3764,79.7311,2.0363
Z006E0026,6,77.3432,78.2739,1.0474
Z006E0027,6,80.5915,82.0066,1.3761
Z006E0028,6,77.3173,76.3172,-0.9787
Z006E0029,6,77.7788,78.7911,1.0189
Z006E0031,6,77.5208,79.0296,1.215
Z006E0032,6,81.6099,83.1005,1.285
Z006E0033,6,74.2657,74.6105,0.3336
Z006E0034,6,76.4426,77.3941,0.8715
Z006E0035,6,80.4472,81.5538,1.0902
Z006E0036,6,78.5968,79.6826,0.9106
Z006E0037,6,81.3463,83.5038,2.2373
Z006E0038,6,76.3715,77.1341,0.6334
Z006E0041,6,74.1823,75.45,1.0998
Z006E0042,6,76.238,75.9721,-0.2815
Z006E0043,6,77.5932,78.8546,1.0457
Z006E0044,6,77.3423,79.194,1.6188
Z006E0046,6,76.8832,78.2573,1.0116
Z006E0047,6,78.4815,81.6004,2.6697
Z006E0048,6,81.0722,82.6593,1.3494
Z006E0049,6,76.4155,77.6718,1.1051
Z006E0050,6,78.9115,79.3841,0.5292
Z006E0051,6,77.7668,78.5861,1.0375
Z006E0052,6,77.1032,77.7914,0.8286
Z006E0053,6,76.9179,77.3754,0.527
Z006E0054,6,77.9059,78.8607,0.487
Z006E0055,6,80.7975,83.8188,3.5437
Z006E0056,6,77.6992,78.7808,0.9748
Z006E0057,6,78.0647,78.4506,0.5683
Z006E0058,6,77.8768,76.9563,-0.7436
Z006E0059,6,77.7574,78.9705,1.1181
Z006E0060,6,75.6402,78.56,2.5619
Z006E0061,6,79.4066,82.1069,2.2376
Z006E0062,6,79.215,80.778,1.4609
Z006E0063,6,81.555,84.6738,2.5952
Z006E0065,6,84.1499,85.9943,1.4896
Z006E0066,6,81.6151,81.4743,0.1221
Z006E0068,6,76.9089,77.0502,-0.1184
Z006E0069,6,77.367,79.2762,1.6274
Z006E0070,6,78.6018,79.7572,0.8474
Z006E0071,6,80.3914,80.4613,0.1666
Z006E0072,6,76.2535,78.1014,1.7551
Z006E0073,6,77.1266,77.3555,0.3312
Z006E0074,6,75.1919,76.0709,0.7825
Z006E0075,6,77.8746,78.2816,0.4273
Z006E0076,6,74.5961,76.9608,1.8117
Z006E0077,6,75.1246,76.2895,0.7913
Z006E0078,6,79.2255,80.6211,1.3091
Z006E0079,6,78.4959,79.3516,1.0233
Z006E0080,6,77.3463,78.543,1.2008
Z006E0081,6,77.2937,78.8125,1.5072
Z006E0082,6,78.0107,78.7141,0.7902
Z006E0083,6,78.2724,79.3147,0.9089
Z006E0084,6,79.0802,79.5737,0.5582
Z006E0085,6,77.7085,78.8091,1.0833
Z006E0086,6,75.9534,77.8954,1.5475
Z006E0087,6,77.094,78.7173,1.4489
Z006E0088,6,78.7189,78.9369,-0.1147
Z006E0089,6,77.6328,80.0616,1.7308
Z006E0090,6,76.2161,78.0084,1.604
Z006E0091,6,80.6103,82.143,1.5228
Z006E0092,6,77.6626,79.5434,1.7013
Z006E0093,6,74.5964,76.6082,1.778
Z006E0094,6,76.1816,78.7217,1.6308
Z006E0095,6,76.1218,79.3741,2.5619
Z006E0096,6,78.904,82.6796,3.4378
Z006E0097,6,75.2507,75.6466,0.2818
Z006E0098,6,82.6281,83.0503,0.1208
Z006E0099,6,80.2358,81.683,1.4531
Z006E0100,6,76.1825,75.7018,-0.1998
Z006E0101,6,76.7849,77.71,0.7849
Z006E0102,6,74.6496,76.07,1.4116
Z006E0103,6,79.1798,80.3788,0.9217
Z006E0104,6,78.2856,79.2621,1.0693
Z006E0105,6,82.2086,81.2357,-0.2478
Z006E0106,6,77.3717,80.1801,2.6995
Z006E0107,6,74.753,76.8407,1.8071
Z006E0108,6,78.0675,78.7828,1.0424
Z006E0109,6,77.4052,78.6917,0.9919
Z006E0110,6,75.9901,77.7948,1.5983
Z006E0111,6,78.5128,78.1791,-0.2229
Z006E0112,6,75.8266,79.2174,2.8991
Z006E0113,6,80.6274,80.8231,0.0951
Z006E0114,6,76.9745,78.0366,0.8075
Z006E0115,6,78.9928,78.8451,0.5198
Z006E0116,6,75.269,77.5699,1.8937
Z006E0117,6,78.2308,80.7185,2.0878
Z006E0118,6,78.1165,80.3243,2.3938
Z006E0119,6,78.812,80.8925,1.953
Z006E0120,6,76.2153,78.7363,2.4194
Z006E0121,6,81.3388,80.7579,0.0121
Z006E0122,6,74.7897,77.1494,2.1893
Z006E0123,6,78.9245,80.9247,1.6392
Z006E0124,6,76.8104,77.8648,1.1039
Z006E0125,6,76.388,77.6402,0.7514
Z006E0126,6,73.46,74.2068,0.6127
Z006E0128,6,80.121,82.1824,1.8853
Z006E0129,6,75.5169,77.611,1.7913
Z006E0133,6,77.068,78.9072,1.6352
Z006E0134,6,75.4261,76.7028,0.9795
Z006E0135,6,78.3662,79.2714,0.8642
Z006E0136,6,80.2442,82.5509,2.1531
Z006E0137,6,77.9987,80.0213,1.9762
Z006E0138,6,77.452,78.9366,1.2912
Z006E0139,6,76.9246,77.923,1.0633
Z006E0140,6,77.7954,78.1468,0.1985
