ID,population,days2anthesis,days2silk,asi
Z001E0001,1,75.5364,77.1298,1.46
Z001E0002,1,76.9075,77.7945,1.3928
Z001E0003,1,75.2646,75.2555,0.8644
Z001E0004,1,73.6933,75.7604,2.0012
Z001E0005,1,79.2441,81.2611,1.8931
Z001E0006,1,73.2044,74.8915,1.3235
Z001E0007,1,73.2628,74.6526,1.6717
Z001E0008,1,73.6357,75.8353,1.9635
Z001E0009,1,74.4447,77.6928,2.6712
Z001E0010,1,72.882,73.9955,1.0102
Z001E0011,1,74.512,77.0255,2.4055
Z001E0012,1,74.2079,76.1478,1.8524
Z001E0013,1,74.1043,75.8686,1.5594
Z001E0014,1,72.601,76.442,3.2258
Z001E0015,1,73.2696,76.3075,2.4847
Z001E0016,1,75.0226,78.3352,2.8689
Z001E0017,1,75.8734,77.0534,1.2183
Z001E0018,1,74.1882,76.7808,2.3415
Z001E0019,1,75.3828,76.3612,1.2434
Z001E0020,1,73.4536,75.6179,2.0246
Z001E0021,1,73.2101,76.009,2.6106
Z001E0022,1,73.5048,73.7848,0.4604
Z001E0023,1,73.2519,75.0279,1.5743
Z001E0024,1,73.3723,74.7244,1.526
Z001E0025,1,74.687,76.6559,1.7487
Z001E0027,1,76.4956,77.5327,1.3633
Z001E0028,1,74.1139,77.6475,2.9619
Z001E0029,1,74.3565,75.9675,1.8086
Z001E0030,1,73.2122,75.1345,1.8989
Z001E0031,1,75.5936,77.5062,1.7471
Z001E0032,1,72.8877,74.7458,1.4959
Z001E0033,1,73.2303,76.1459,2.4973
Z001E0034,1,75.0991,77.4157,2.3055
Z001E0036,1,74.7664,77.4935,2.6654
Z001E0037,1,72.3426,76.8784,3.7219
Z001E0038,1,71.9588,74.6385,2.5105
Z001E0039,1,71.7715,74.4653,2.0897
Z001E0040,1,71.8381,73.5124,1.374
Z001E0041,1,74.4177,75.4428,1.1199
Z001E0042,1,75.9285,76.0523,0.3664
Z001E0043,1,73.1977,75.5646,1.8777
Z001E0044,1,73.5602,75.1483,1.5318
Z001E0045,1,74.0994,75.1578,1.2716
Z001E0046,1,76.4935,78.0424,1.6729
Z001E0047,1,73.4461,74.2227,0.9237
Z001E0048,1,75.6448,78.0061,2.5514
Z001E0049,1,74.497,77.2696,2.4514
Z001E0050,1,72.7085,73.7214,1.1363
Z001E0051,1,74.9463,76.6208,1.6166
Z001E0052,1,74.3927,76.1092,1.5464
Z001E0053,1,72.7681,75.0736,2.3448
Z001E0054,1,73.7137,76.1391,2.3239
Z001E0055,1,72.602,74.2276,1.386
Z001E0056,1,71.405,73.3898,1.9022
Z001E0057,1,72.6688,74.9026,1.8267
Z001E0058,1,73.5428,73.9294,0.5877
Z001E0059,1,75.956,79.3097,2.534
Z001E0060,1,73.2871,75.7919,2.1283
Z001E0061,1,71.8296,73.1679,1.5834
Z001E0062,1,73.7957,75.0392,1.3007
Z001E0063,1,75.6592,78.4037,2.4806
Z001E0064,1,76.1854,77.0385,0.6289
Z001E0065,1,70.6348,71.9689,0.4692
Z001E0066,1,75.178,75.3466,0.4632
Z001E0067,1,72.5856,74.5329,1.449
Z001E0068,1,74.544,75.9938,1.3914
Z001E0069,1,71.1867,73.9945,2.1772
Z001E0070,1,72.921,76.4627,3.0046
Z001E0071,1,72.898,75.3038,2.1447
Z001E0072,1,71.8574,74.8735,2.597
Z001E0073,1,73.5953,76.1802,2.2877
Z001E0074,1,73.6667,76.6196,2.4713
Z001E0075,1,73.7969,75.4694,1.6364
Z001E0076,1,73.7603,76.318,2.2786
Z001E0077,1,71.4082,73.9163,2.1347
Z001E0078,1,71.1395,73.3882,1.8855
Z001E0079,1,74.1032,76.902,2.4386
Z001E0080,1,74.0877,77.058,2.5573
Z001E0081,1,73.9737,75.251,1.3161
Z001E0082,1,72.4925,74.3492,1.7351
Z001E0083,1,75.7192,78.1838,1.6979
Z001E0084,1,77.7196,80.556,2.2882
Z001E0085,1,74.632,76.1233,0.8461
Z001E0086,1,72.8603,74.7984,1.6419
Z001E0087,1,74.1809,75.3241,1.2794
Z001E0088,1,75.5019,78.4111,2.533
Z001E0089,1,73.105,75.7964,2.3146
Z001E0090,1,75.3993,78.9764,2.7988
Z001E0091,1,74.5735,76.0382,1.2699
Z001E0092,1,74.4626,74.7579,0.6318
Z001E0093,1,72.6268,74.2375,1.6946
Z001E0094,1,73.5321,75.029,1.2832
Z001E0095,1,75.3655,75.9518,0.3873
Z001E0096,1,72.2689,74.417,1.1762
Z001E0097,1,75.1618,76.6739,1.2469
Z001E0098,1,71.462,73.5719,2.1129
Z001E0099,1,74.7192,76.919,2.0912
Z001E0100,1,73.9714,75.0202,1.2468
Z001E0101,1,72.824,74.2394,1.2711
Z001E0102,1,74.8271,77.3091,2.286
Z001E0103,1,71.4541,73.8983,2.1521
Z001E0104,1,72.0808,74.1201,2.0282
Z001E0105,1,75.9339,78.1457,2.2709
Z001E0106,1,73.1747,75.2566,1.9237
Z001E0107,1,72.7771,74.5204,1.8188
Z001E0108,1,73.3961,74.5505,1.4426
Z001E0109,1,74.3624,75.8621,1.7186
Z001E0110,1,75.326,78.4174,2.5749
Z001E0111,1,75.0665,76.6122,1.5775
Z001E0112,1,71.7585,73.7069,1.6723
Z001E0113,1,74.1857,75.63,1.4732
Z001E0114,1,75.4595,77.1789,1.5968
Z001E0115,1,73.3248,74.9337,1.577
Z001E0116,1,75.0473,76.8006,1.3536
Z001E0117,1,74.2785,74.6162,0.5726
Z001E0118,1,74.3125,77.0419,2.4039
Z001E0119,1,73.67,74.9085,1.4077
Z001E0120,1,74.1105,76.1941,1.9765
Z001E0121,1,75.1649,77.529,2.2246
Z001E0122,1,74.3088,77.4491,2.7062
Z001E0123,1,75.3767,76.7109,1.2207
Z001E0124,1,75.8223,77.6897,1.8226
Z001E0125,1,74.053,75.9969,1.935
Z001E0126,1,75.3452,77.6214,2.2559
Z001E0127,1,74.1177,76.2336,1.8537
Z001E0128,1,71.4291,72.3661,0.9543
Z001E0129,1,73.415,75.0861,1.9388
Z001E0130,1,74.7391,76.6599,1.6102
Z001E0131,1,72.6231,75.5715,2.4239
Z001E0132,1,77.1368,79.5833,1.7707
Z001E0133,1,73.0252,76.1624,2.4389
