ID,population,days2anthesis,days2silk,asi
Z002E0001,2,79.3565,78.2915,-0.9331
Z002E0002,2,78.1984,78.5427,-0.0497
Z002E0003,2,77.6163,78.1263,0.3528
Z002E0004,2,77.8985,78.0589,0.3381
Z002E0005,2,75.4894,75.755,-0.0958
Z002E0006,2,79.1232,81.0252,1.5056
Z002E0007,2,75.4849,75.8383,0.2593
Z002E0008,2,78.1743,78.6621,0.4416
Z002E0009,2,80.4584,81.4089,0.6657
Z002E0010,2,78.8112,79.1095,0.0874
Z002E0011,2,77.166,77.604,0.0292
Z002E0012,2,78.0461,78.2357,0.14
Z002E0013,2,78.677,79.5463,0.8218
Z002E0014,2,76.7676,77.8741,0.6504
Z002E0015,2,78.0226,78.3883,0.2001
Z002E0016,2,74.7925,75.9543,0.3339
Z002E0017,2,77.574,77.8489,0.1295
Z002E0018,2,78.0506,78.3897,0.2766
Z002E0019,2,79.1786,79.4702,0.2538
Z002E0020,2,77.7334,78.2211,0.324
Z002E0021,2,77.9137,78.1642,0.2667
Z002E0022,2,78.6077,80.0183,1.0462
Z002E0023,2,78.5221,78.4925,-0.1375
Z002E0025,2,76.2443,78.0752,1.3759
Z002E0026,2,79.5637,78.4234,-0.6941
Z002E0027,2,78.5877,77.2566,-0.9081
Z002E0028,2,81.3035,81.1099,-0.1662
Z002E0029,2,76.2336,76.8028,0.3996
Z002E0030,2,77.2009,77.9507,0.5393
Z002E0031,2,77.5112,75.6006,-1.6264
Z002E0032,2,77.1291,77.5862,0.51
Z002E0033,2,78.4139,78.6345,-0.0164
Z002E0034,2,78.2769,78.3353,-0.2172
Z002E0035,2,78.3197,77.2308,-0.5442
Z002E0036,2,78.4121,78.8474,0.2985
Z002E0037,2,77.9472,78.5652,0.1895
Z002E0038,2,78.1956,79.1281,-0.1066
Z002E0039,2,77.2647,76.9694,-0.2338
Z002E0040,2,77.9475,79.1531,0.9764
Z002E0041,2,76.5108,76.4115,-0.0618
Z002E0042,2,75.27,76.2538,0.7134
Z002E0043,2,78.6239,78.645,-0.153
Z002E0044,2,81.4237,81.225,0.7044
Z002E0045,2,77.4579,76.8459,-0.2357
Z002E0046,2,77.3407,76.5791,-1.032
Z002E0047,2,78.6825,79.0756,0.144
Z002E0048,2,75.955,75.7845,-0.0711
Z002E0049,2,79.0873,79.6945,0.4513
Z002E0050,2,78.5197,78.999,0.5591
