ID,population,days2anthesis,days2silk,asi
Z022E0001,22,72.3341,73.5385,1.8792
Z022E0002,22,73.1465,73.7119,0.9139
Z022E0003,22,74.9607,74.0249,0.4044
Z022E0004,22,72.7151,74.7958,2.4001
Z022E0005,22,73.428,75.1609,2.0323
Z022E0006,22,71.8732,71.9952,0.9875
Z022E0007,22,73.245,73.6092,0.9169
Z022E0008,22,72.3834,74.246,2.1028
Z022E0009,22,73.188,75.3427,2.2543
Z022E0010,22,76.0222,80.8262,4.1827
Z022E0011,22,73.8672,74.0456,1.1345
Z022E0012,22,74.8349,74.9867,0.6166
Z022E0013,22,74.9433,78.0164,2.7323
Z022E0014,22,73.863,75.598,2.1277
Z022E0015,22,74.8155,75.8581,1.4154
Z022E0016,22,70.9678,72.6913,2.3259
Z022E0017,22,72.3765,73.5877,1.7464
Z022E0018,22,72.4165,74.3315,2.3348
Z022E0019,22,72.4418,75.1586,2.6313
Z022E0020,22,72.7955,73.4321,1.2203
Z022E0021,22,72.5116,73.5529,1.6191
Z022E0023,22,72.8549,73.7976,1.5987
Z022E0024,22,73.1465,73.2771,1.1021
Z022E0025,22,71.9107,72.1363,0.6538
Z022E0027,22,73.1606,73.3786,0.7155
Z022E0028,22,75.0235,77.9754,2.9073
Z022E0029,22,73.5879,73.6544,1.056
Z022E0030,22,71.513,73.4002,2.3037
Z022E0031,22,72.9871,75.2918,2.3502
Z022E0032,22,71.8328,72.2898,1.2197
Z022E0033,22,71.9472,72.8548,1.4593
Z022E0034,22,73.458,74.7153,1.648
Z022E0035,22,73.1827,74.0424,1.7828
Z022E0036,22,72.0173,72.6771,1.3845
Z022E0037,22,74.0082,74.1254,1.0938
Z022E0038,22,74.1014,75.67,1.6325
Z022E0039,22,72.7174,73.8495,1.8668
Z022E0040,22,74.6135,77.7409,2.7974
Z022E0041,22,73.0292,73.7853,1.57
Z022E0042,22,73.3552,73.6533,0.8972
Z022E0043,22,74.0893,76.0361,2.4997
Z022E0044,22,74.8797,76.2028,1.5696
Z022E0046,22,73.1716,74.275,1.9274
Z022E0047,22,73.172,74.7163,1.8484
Z022E0048,22,73.4148,74.0127,1.4152
Z022E0049,22,73.4308,73.3955,0.67
Z022E0050,22,72.3451,71.804,0.3751
Z022E0051,22,74.5056,76.2002,1.8467
Z022E0052,22,74.1448,76.6586,2.723
Z022E0053,22,73.9187,76.2501,1.9498
Z022E0054,22,77.363,79.8183,2.9051
Z022E0056,22,75.5408,77.9786,3.2645
Z022E0057,22,75.2604,78.3046,3.0855
Z022E0058,22,73.8702,75.7331,2.2619
Z022E0059,22,72.8681,73.7958,1.5236
Z022E0060,22,74.5549,75.1482,1.4999
Z022E0061,22,75.4096,78.6704,3.0107
Z022E0062,22,73.5069,74.3991,1.579
Z022E0063,22,75.2417,76.9155,1.8801
Z022E0064,22,74.4664,74.3651,0.7034
Z022E0065,22,74.4557,74.7088,0.9672
Z022E0066,22,73.5979,75.1637,2.0616
Z022E0067,22,71.0459,71.0741,0.8622
Z022E0068,22,73.5074,74.2119,1.3947
Z022E0069,22,74.5113,73.0154,-0.3613
Z022E0070,22,75.637,76.6881,1.6082
Z022E0071,22,72.6292,73.0806,1.196
Z022E0072,22,72.7636,73.5039,1.3902
Z022E0073,22,72.9494,73.4895,1.1029
Z022E0074,22,74.8834,77.1828,2.5673
Z022E0075,22,72.9878,74.8337,2.1538
Z022E0076,22,73.2482,74.7401,2.0179
Z022E0077,22,71.3246,71.5094,0.9581
Z022E0078,22,76.2551,78.3419,2.1035
Z022E0079,22,72.32,71.7685,0.4546
Z022E0080,22,72.5905,73.7052,1.6297
Z022E0081,22,73.8103,74.3895,1.1286
Z022E0082,22,73.2799,73.7997,0.9365
Z022E0083,22,72.4625,73.1744,0.9626
Z022E0084,22,73.8653,75.4747,2.221
Z022E0085,22,73.7035,75.3251,2.2488
Z022E0086,22,73.5862,76.321,3.0965
Z022E0087,22,72.9704,74.1823,1.6883
Z022E0088,22,74.7569,75.4625,1.447
Z022E0089,22,72.2039,72.5538,1.1888
Z022E0090,22,74.2535,76.3618,2.2975
Z022E0091,22,74.2742,75.6696,1.9784
Z022E0092,22,74.3836,75.9623,1.5484
Z022E0093,22,73.8828,75.9223,2.2569
Z022E0094,22,73.4265,74.4257,1.4716
Z022E0095,22,73.5549,75.6928,2.5735
Z022E0096,22,75.7261,78.838,3.0511
Z022E0097,22,74.3883,76.3982,2.1131
Z022E0098,22,71.9519,72.7456,1.2653
Z022E0099,22,74.5289,79.1243,4.3093
Z022E0100,22,73.8566,74.8872,1.2685
Z022E0101,22,73.5946,74.2193,1.3346
Z022E0102,22,73.1994,75.7436,2.8176
Z022E0103,22,71.1814,71.183,0.8163
Z022E0104,22,73.8868,74.7912,1.6458
Z022E0105,22,74.1852,75.8292,1.99
Z022E0106,22,75.2772,79.9495,4.7331
Z022E0107,22,72.0683,72.5244,1.1896
Z022E0108,22,73.787,74.1779,1.0509
Z022E0109,22,74.5394,76.0854,2.1298
Z022E0110,22,71.5576,73.8769,2.6918
Z022E0111,22,73.4324,74.4556,1.7005
Z022E0112,22,74.442,75.982,2.0072
Z022E0113,22,71.5348,72.1962,1.3426
Z022E0114,22,74.0676,74.2003,0.7773
Z022E0115,22,72.4536,72.7272,1.025
Z022E0116,22,73.5066,75.7991,2.1645
Z022E0117,22,74.7544,77.9235,3.26
Z022E0118,22,73.512,73.6077,0.8267
Z022E0119,22,71.6487,73.957,2.4381
Z022E0120,22,74.5647,75.0057,0.9185
Z022E0121,22,73.1904,74.5652,1.811
Z022E0123,22,73.4861,77.3724,3.7039
Z022E0124,22,75.1674,78.4579,3.1891
Z022E0125,22,74.95,77.1425,2.5765
Z022E0126,22,73.1283,72.1917,0.2314
Z022E0127,22,74.3114,74.6091,1.2572
Z022E0128,22,73.3953,74.9072,1.9196
Z022E0129,22,74.2534,76.9421,2.5942
Z022E0130,22,73.9185,73.9414,0.7965
Z022E0131,22,73.4954,73.8667,1.1561
Z022E0132,22,75.0533,75.3694,0.9922
Z022E0133,22,76.2632,76.6506,0.4513
Z022E0134,22,72.803,74.1241,1.6362
Z022E0135,22,73.6146,73.6748,0.5396
Z022E0136,22,75.308,76.8136,1.7508
Z022E0137,22,74.9991,75.4808,0.5613
Z022E0138,22,72.2636,71.9635,0.5398
Z022E0139,22,76.3345,78.1936,2.0533
Z022E0140,22,73.0447,74.0112,1.4839
Z022E0141,22,73.1131,74.3859,1.6653
Z022E0142,22,72.6956,72.2731,0.7505
Z022E0145,22,74.7855,77.7518,3.316
Z022E0146,22,71.7286,72.74,1.5239
Z022E0147,22,74.7137,75.8131,1.5042
Z022E0148,22,74.4255,73.4063,0.1488
Z022E0149,22,73.225,74.6053,1.945
Z022E0150,22,73.1877,72.9151,0.5071
Z022E0151,22,73.8329,75.1922,2.0781
Z022E0152,22,73.9548,75.5561,1.7753
Z022E0153,22,74.5455,75.2,1.267
Z022E0154,22,74.1432,78.639,3.9774
Z022E0155,22,73.7065,74.8636,1.5377
Z022E0156,22,73.0972,74.8054,1.9566
Z022E0157,22,72.6763,74.7313,2.1667
Z022E0158,22,71.6699,72.9082,1.7022
Z022E0159,22,73.5188,75.8644,3.0183
Z022E0160,22,74.3877,74.7241,1.0452
Z022E0161,22,77.711,77.9549,0.7417
Z022E0162,22,72.4044,74.3043,1.9888
Z022E0163,22,73.6484,75.5834,2.3414
Z022E0164,22,75.3724,77.7047,2.5637
Z022E0165,22,73.9317,74.7941,1.5083
Z022E0166,22,73.098,74.6444,1.937
Z022E0167,22,76.2436,77.6871,2.0501
Z022E0168,22,74.3407,76.0323,1.99
Z022E0169,22,75.1135,76.462,1.5524
Z022E0170,22,72.631,73.3925,1.6493
Z022E0171,22,73.879,76.3967,2.4228
Z022E0172,22,73.4044,76.0672,2.9141
Z022E0173,22,76.3012,77.9794,1.714
Z022E0174,22,73.1133,72.9211,0.4909
Z022E0175,22,73.6753,75.3895,2.1134
Z022E0176,22,73.0054,73.3084,0.8994
Z022E0177,22,72.2579,72.6456,0.9871
Z022E0178,22,72.8849,73.9293,1.6677
Z022E0179,22,74.7088,77.784,3.1438
Z022E0180,22,72.7186,74.4284,1.9822
Z022E0181,22,75.7735,78.6849,2.8269
Z022E0182,22,71.7311,72.5201,1.3724
Z022E0183,22,72.5807,73.4456,2.1855
Z022E0184,22,76.081,78.6491,2.5747
Z022E0185,22,74.9053,75.9585,1.2864
Z022E0186,22,72.2696,73.3942,1.748
Z022E0187,22,76.8539,76.5094,1.5817
Z022E0188,22,73.3771,75.3891,2.3359
Z022E0189,22,75.892,76.598,1.3646
Z022E0190,22,73.5836,75.0365,2.02
Z022E0191,22,74.6578,76.8219,2.4793
Z022E0192,22,73.487,75.7119,2.4301
Z022E0193,22,72.0127,72.3883,1.4391
Z022E0194,22,75.4782,79.6109,4.2648
Z022E0195,22,72.8233,73.066,1.1298
Z022E0196,22,72.1866,73.6546,1.9716
Z022E0197,22,75.3822,76.5278,1.7251
Z022E0198,22,74.4792,75.2401,1.3068
Z022E0199,22,72.9813,74.1195,1.5773
Z022E0200,22,73.5831,74.6126,0.9385
