ID,population,days2anthesis,days2silk,asi
Z023E0001,23,76.5555,78.6908,1.1633
Z023E0003,23,75.3329,77.9197,2.019
Z023E0004,23,76.8881,78.5396,1.285
Z023E0006,23,76.0825,76.9708,0.5675
Z023E0007,23,76.9605,79.746,1.7681
Z023E0008,23,77.2988,78.822,1.844
Z023E0009,23,76.5676,79.1231,2.3279
Z023E0010,23,77.2061,79.7049,2.2127
Z023E0011,23,77.5665,79.4986,1.502
Z023E0012,23,78.5399,80.5801,1.7253
Z023E0013,23,77.4494,80.465,2.661
Z023E0014,23,77.4529,81.2702,2.7712
Z023E0015,23,74.0078,76.9332,2.424
Z023E0016,23,76.1856,77.9129,1.2416
Z023E0017,23,78.142,81.5826,2.9572
Z023E0018,23,75.7701,78.4042,2.0917
Z023E0019,23,74.9734,76.7264,1.2358
Z023E0020,23,77.3674,79.4131,1.7582
Z023E0021,23,75.3642,78.1382,2.3407
Z023E0022,23,78.0768,79.07,0.8802
Z023E0023,23,75.8203,76.8101,0.6466
Z023E0024,23,76.4165,78.9865,2.3201
Z023E0025,23,74.9925,79.0957,3.6107
Z023E0026,23,75.7277,78.2848,2.2611
Z023E0027,23,74.1061,75.5288,1.5116
Z023E0028,23,76.0143,78.6685,2.0483
Z023E0029,23,75.6298,77.8378,1.723
Z023E0030,23,76.763,79.0199,1.8475
Z023E0031,23,75.0351,77.1414,1.8574
Z023E0032,23,74.7951,77.7015,2.2362
Z023E0033,23,76.7194,79.4196,2.1695
Z023E0034,23,78.6733,82.889,2.9339
Z023E0035,23,76.0348,79.2081,3.0539
Z023E0036,23,78.2841,81.2643,2.3434
Z023E0037,23,77.3638,79.6106,2.1298
Z023E0038,23,76.5508,79.4489,2.2569
Z023E0039,23,73.9602,76.0996,1.4158
Z023E0040,23,76.0213,78.1126,1.8973
Z023E0041,23,76.5522,78.7912,1.709
Z023E0042,23,76.1594,77.9608,1.483
Z023E0043,23,79.256,81.5474,1.646
Z023E0044,23,80.0175,81.1608,0.8374
Z023E0045,23,79.8683,83.7535,3.0192
Z023E0046,23,76.1445,78.1039,1.4823
Z023E0047,23,77.286,79.95,1.9101
Z023E0048,23,74.701,78.3259,3.0347
Z023E0049,23,78.3721,80.0924,1.7797
Z023E0050,23,76.6268,77.7471,0.6868
Z023E0051,23,75.4945,76.6406,1.1077
Z023E0052,23,77.9589,79.9616,1.6661
Z023E0053,23,78.7911,80.5743,1.7035
Z023E0054,23,76.0056,77.7754,1.5308
Z023E0055,23,75.4248,78.3709,2.242
Z023E0056,23,75.7115,77.4755,1.5235
Z023E0057,23,75.3863,77.7674,1.7806
