ID,population,days2anthesis,days2silk,asi
Z007E0001,7,77.5373,80.918,2.9665
Z007E0002,7,75.5894,78.9164,2.6673
Z007E0003,7,78.5551,80.3312,1.8998
Z007E0004,7,76.7207,80.5949,3.2566
Z007E0005,7,82.5795,83.6195,1.6032
Z007E0007,7,76.5967,78.8246,2.1747
Z007E0008,7,75.8039,77.7032,2.0295
Z007E0009,7,76.1388,79.9544,2.9717
Z007E0010,7,74.3072,77.4934,2.711
Z007E0011,7,74.8167,77.1331,1.9969
Z007E0012,7,77.9325,80.9832,2.5651
Z007E0013,7,78.8341,81.5219,2.1954
Z007E0014,7,75.0685,77.144,2.1231
Z007E0015,7,77.2232,79.0112,1.8035
Z007E0016,7,83.1163,83.7033,1.1321
Z007E0017,7,78.5683,81.502,2.59
Z007E0019,7,75.5477,77.7449,2.219
Z007E0020,7,79.7112,81.8183,2.052
Z007E0021,7,78.8968,81.8148,2.8509
Z007E0022,7,75.8999,77.7566,1.7538
Z007E0023,7,82.4746,84.0385,1.8512
Z007E0024,7,77.526,79.4128,2.0166
Z007E0025,7,77.0154,78.7479,1.7362
Z007E0026,7,76.3494,79.703,2.8808
Z007E0027,7,77.8558,79.3732,1.6765
Z007E0029,7,76.3195,79.5538,2.729
Z007E0030,7,78.631,79.9121,1.2556
Z007E0031,7,82.8427,83.0171,1.0891
Z007E0032,7,79.592,80.4323,1.3566
Z007E0033,7,80.4037,82.5915,2.1314
Z007E0034,7,76.489,79.0373,2.8162
Z007E0036,7,76.8064,78.8986,1.9523
Z007E0037,7,77.6461,79.1193,1.7041
Z007E0038,7,78.1721,79.6951,1.8239
Z007E0039,7,77.0306,78.7535,1.7899
Z007E0040,7,80.8305,83.7018,2.7699
Z007E0041,7,77.226,80.3974,2.9815
Z007E0042,7,79.1966,82.53,3.4366
Z007E0043,7,75.4523,77.9505,2.3305
Z007E0044,7,77.9784,80.9378,2.7319
Z007E0045,7,74.1059,76.2736,1.9587
Z007E0046,7,78.3667,81.3643,2.5808
Z007E0047,7,76.7167,78.2083,1.7592
Z007E0048,7,77.3458,78.8722,1.5633
Z007E0049,7,76.6801,78.1278,1.7508
Z007E0050,7,76.1341,78.6127,2.4329
Z007E0051,7,80.8364,83.1218,2.1065
Z007E0052,7,83.379,84.3296,1.5315
Z007E0053,7,76.8405,79.2508,2.0533
Z007E0054,7,79.4859,81.314,1.8971
Z007E0055,7,82.7983,84.832,2.0581
Z007E0056,7,78.5789,81.3215,2.6181
Z007E0058,7,76.912,77.2437,1.0475
Z007E0059,7,76.4757,78.9034,2.3274
Z007E0060,7,76.5446,79.1741,2.6548
Z007E0061,7,76.4104,79.2672,2.4356
Z007E0062,7,78.1532,80.7327,2.8731
Z007E0063,7,77.9025,82.7187,3.99
Z007E0064,7,78.8783,83.8529,3.9553
Z007E0065,7,77.2487,79.8092,2.5805
Z007E0066,7,78.8248,81.7832,2.9159
Z007E0067,7,77.832,80.1159,2.2172
Z007E0068,7,77.9892,82.3426,3.5485
Z007E0069,7,76.3267,77.7903,1.5366
Z007E0070,7,76.7668,80.3344,3.3714
Z007E0071,7,81.7877,84.4239,2.6475
Z007E0072,7,79.6956,82.6813,2.6855
Z007E0073,7,76.3743,77.8976,1.4831
Z007E0074,7,76.5299,78.0129,1.5517
Z007E0075,7,75.4565,77.7968,1.9415
Z007E0076,7,77.7705,81.3225,3.0576
Z007E0077,7,75.7259,79.0568,3.2982
Z007E0078,7,80.6002,81.9863,1.6029
Z007E0079,7,77.6574,78.8409,1.0851
Z007E0080,7,76.4499,78.3565,2.0928
Z007E0081,7,77.4977,79.038,1.5997
