ID,population,days2anthesis,days2silk,asi
Z003E0152,3,77.7282,78.4256,0.6406
Z003E0153,3,79.8494,83.1172,2.3846
Z003E0154,3,75.2227,77.4361,1.8322
Z003E0155,3,79.4496,80.704,1.3678
Z003E0156,3,79.9017,82.0453,1.8794
Z003E0157,3,84.637,86.3317,1.4021
Z003E0158,3,77.1746,80.0722,2.0007
Z003E0160,3,79.2117,80.061,0.7763
Z003E0161,3,85.3175,87.3083,1.4378
Z003E0163,3,78.7282,80.919,1.6854
Z003E0164,3,78.6662,79.4991,0.6886
Z003E0166,3,76.8395,76.8602,0.1145
Z003E0167,3,76.3352,80.5299,2.857
Z003E0168,3,77.2828,77.7635,0.5462
Z003E0169,3,83.8192,85.043,1.0884
Z003E0171,3,82.7427,84.7481,1.4821
Z003E0172,3,82.8433,86.4389,2.2961
Z003E0173,3,77.7372,80.7331,2.1489
Z003E0174,3,80.6735,83.302,1.9128
Z003E0175,3,75.4286,78.1203,1.9213
Z003E0176,3,80.1062,82.2565,1.4966
Z003E0177,3,77.306,79.5341,1.7709
Z003E0178,3,81.0167,81.8725,0.6432
Z003E0179,3,78.3904,79.7506,1.065
Z003E0180,3,81.4393,82.2709,0.9921
Z003E0181,3,76.4778,78.9576,1.8865
Z003E0182,3,81.0515,83.2378,1.7162
Z003E0183,3,81.4387,83.9701,2.404
Z003E0184,3,78.0854,80.345,1.6685
Z003E0185,3,78.0468,80.4243,1.6766
Z003E0186,3,82.9359,85.4719,2.0123
Z003E0187,3,79.3437,80.0572,0.3677
Z003E0188,3,81.1629,84.7318,2.5228
Z003E0189,3,76.8146,79.0405,1.6149
Z003E0190,3,78.6157,79.4006,0.9221
Z003E0191,3,82.2435,83.9491,0.961
Z003E0192,3,87.2004,88.9017,1.381
Z003E0193,3,79.9189,80.8844,0.5473
Z003E0194,3,75.8695,78.2582,1.8968
Z003E0195,3,81.2954,82.1802,1.502
Z003E0196,3,79.8444,80.9275,0.9813
Z003E0197,3,79.7588,81.6399,1.1829
Z003E0198,3,78.5311,79.9953,0.8884
Z003E0199,3,77.8497,79.7303,1.4245
Z003E0200,3,82.1429,83.7681,1.4592
