ID,population,days2anthesis,days2silk,asi
Z004E0001,4,77.8949,78.9198,1.1666
Z004E0002,4,79.5131,79.5486,0.0724
Z004E0003,4,78.2563,79.8837,1.5932
Z004E0004,4,81.6435,83.9447,2.1219
Z004E0005,4,75.26,77.8518,2.4889
Z004E0006,4,77.4406,78.5854,1.4446
Z004E0008,4,79.4889,83.6691,3.881
Z004E0009,4,84.2061,83.3444,-0.4322
Z004E0010,4,80.5454,81.9206,1.2342
Z004E0011,4,81.4825,82.9096,1.4783
Z004E0012,4,81.0482,83.584,2.6607
Z004E0013,4,83.6535,86.8378,2.8832
Z004E0014,4,81.0743,83.5938,2.6717
Z004E0015,4,82.7821,84.2934,1.5327
Z004E0016,4,81.2187,84.0085,2.6706
Z004E0017,4,79.0758,81.5583,2.3083
Z004E0018,4,79.1572,81.8123,2.4501
Z004E0019,4,80.0879,81.2826,1.4533
Z004E0020,4,80.9004,82.8987,2.1665
Z004E0021,4,76.9237,76.943,0.7134
Z004E0022,4,78.3933,79.5255,1.1836
Z004E0023,4,82.9121,82.9129,0.1873
Z004E0024,4,79.888,78.8723,-0.4718
Z004E0025,4,84.6159,85.2735,1.17
Z004E0026,4,83.3441,84.3412,1.1945
Z004E0027,4,77.4427,78.4974,1.1914
Z004E0028,4,81.4581,84.5609,2.9659
Z004E0029,4,79.2431,80.3685,1.4018
Z004E0030,4,80.422,81.9406,1.8083
Z004E0031,4,81.454,85.2314,3.3807
Z004E0032,4,78.5513,82.0343,3.2253
Z004E0033,4,81.9577,85.245,3.4288
Z004E0034,4,74.7894,76.3265,1.785
Z004E0035,4,80.2289,85.3153,4.5746
Z004E0036,4,82.1447,84.293,2.0973
Z004E0037,4,83.006,82.9905,0.3262
Z004E0038,4,89.3933,90.7732,1.9049
Z004E0039,4,79.0818,82.6633,3.4138
Z004E0040,4,76.5725,77.3687,0.7064
Z004E0042,4,83.5235,84.4776,1.162
Z004E0043,4,80.1195,81.2658,1.3153
Z004E0044,4,82.1456,83.7838,1.9325
Z004E0045,4,78.9195,79.7544,1.2376
Z004E0046,4,77.6711,79.5556,1.711
Z004E0047,4,80.943,81.7655,0.6671
Z004E0048,4,79.5655,81.4528,1.7795
Z004E0049,4,76.6595,77.8003,1.078
Z004E0050,4,80.6751,82.06,1.5495
Z004E0051,4,80.8882,83.8202,2.5849
Z004E0052,4,78.4715,79.2527,0.8693
Z004E0053,4,84.6909,85.3379,0.8916
Z004E0054,4,78.0588,79.7851,1.6661
Z004E0056,4,84.7441,86.9015,2.07
Z004E0057,4,80.1712,82.4211,2.1078
Z004E0058,4,77.4802,77.7329,0.5352
Z004E0059,4,79.6841,83.2716,3.5501
Z004E0060,4,84.3186,85.1602,1.2527
