ID,population,days2anthesis,days2silk,asi
Z013E0001,13,77.0732,79.8424,2.2874
Z013E0002,13,74.2442,74.9241,1.2378
Z013E0003,13,79.0105,80.8712,1.3927
Z013E0004,13,76.5865,78.3006,1.3894
Z013E0005,13,80.7467,83.4059,2.2403
Z013E0006,13,77.5685,79.8867,2.0979
Z013E0007,13,77.3779,79.8185,1.8359
Z013E0009,13,75.7799,79.4805,3.0804
Z013E0010,13,78.2185,78.9474,0.9528
Z013E0011,13,79.5793,81.3764,1.4109
Z013E0012,13,80.8746,83.4868,2.1327
Z013E0013,13,80.2685,82.1188,2.063
Z013E0014,13,78.2845,80.2728,1.6752
Z013E0015,13,77.9432,82.435,3.5941
Z013E0016,13,79.4076,81.0605,1.1932
Z013E0017,13,78.6782,80.4393,1.4594
Z013E0018,13,82.7682,84.1201,0.9929
Z013E0019,13,79.0859,81.7534,2.3072
Z013E0020,13,77.4352,81.5419,3.314
Z013E0021,13,77.177,78.9502,1.4481
Z013E0022,13,77.0709,79.461,2.3807
Z013E0023,13,76.8119,79.9884,2.6419
Z013E0024,13,78.0183,78.3043,0.644
Z013E0025,13,78.4677,80.7588,1.6751
Z013E0026,13,78.7067,79.6345,1.1473
Z013E0027,13,78.4909,80.1992,1.3507
Z013E0028,13,76.8846,78.3458,1.1803
Z013E0029,13,76.6768,81.7421,3.5152
Z013E0030,13,78.4984,80.9334,1.7337
Z013E0031,13,75.4401,75.8645,0.6564
Z013E0032,13,73.4745,75.1564,1.4386
Z013E0033,13,76.5326,78.3748,1.2624
Z013E0034,13,73.1832,75.5096,2.0204
Z013E0035,13,82.1908,86.2084,2.8165
Z013E0036,13,79.914,83.8726,3.4756
Z013E0037,13,78.5818,81.6107,2.7182
Z013E0038,13,73.9366,75.1139,1.1085
Z013E0039,13,78.823,82.7255,3.3441
Z013E0040,13,75.9771,77.9304,1.8668
Z013E0042,13,74.5461,76.0779,1.54
Z013E0043,13,79.8907,81.9957,1.6999
Z013E0044,13,78.6452,79.7209,0.951
Z013E0045,13,79.0247,82.0209,2.5231
Z013E0046,13,79.6247,80.8175,1.2338
Z013E0049,13,80.4248,82.2201,1.6021
Z013E0050,13,80.2762,83.9722,2.9539
Z013E0051,13,77.015,79.3586,2.3198
Z013E0052,13,77.9357,80.9361,2.5753
Z013E0053,13,80.427,83.355,2.1189
Z013E0054,13,74.2868,78.1331,2.7858
Z013E0055,13,77.4045,79.9951,1.7471
Z013E0056,13,75.3871,76.5931,1.13
Z013E0057,13,77.6975,81.717,3.3138
Z013E0058,13,78.5801,79.9717,1.2431
Z013E0059,13,74.5195,77.3572,2.2688
Z013E0060,13,78.4033,78.555,0.0878
Z013E0061,13,77.5796,80.0106,2.2557
Z013E0062,13,78.2551,79.5112,1.0084
Z013E0063,13,77.0379,79.3955,2.1758
Z013E0065,13,77.0034,77.9297,1.1542
Z013E0066,13,79.6046,81.6832,1.8467
Z013E0067,13,79.5353,81.0661,1.3475
Z013E0068,13,77.2491,79.417,1.5143
Z013E0069,13,78.2696,81.0897,2.3755
Z013E0071,13,75.3204,76.4125,0.9883
Z013E0072,13,76.1993,78.5913,1.89
Z013E0073,13,78.2936,79.643,0.952
Z013E0074,13,77.5476,80.6248,2.2155
Z013E0075,13,75.456,76.7448,1.6563
