ID,population,days2anthesis,days2silk,asi
Z016E0001,16,80.3581,80.4832,-0.0968
Z016E0002,16,76.2297,77.7861,1.3352
Z016E0003,16,77.88,81.7612,3.3013
Z016E0004,16,78.1096,80.8766,2.2329
Z016E0005,16,78.8991,80.9194,2.0347
Z016E0006,16,82.4802,83.1254,0.9859
Z016E0007,16,79.844,79.9979,0.4277
Z016E0008,16,74.5537,75.6569,1.3429
Z016E0009,16,77.6213,77.8481,0.4155
Z016E0010,16,79.0418,80.9204,1.8041
Z016E0012,16,77.1714,78.021,0.8485
Z016E0013,16,78.3875,82.3363,3.1718
Z016E0014,16,78.1745,80.8919,2.1167
Z016E0015,16,76.5294,77.6206,1.1079
Z016E0016,16,75.8393,78.1603,2.3833
Z016E0017,16,76.4793,79.962,2.5713
Z016E0018,16,75.9745,77.5456,1.5799
Z016E0019,16,76.1904,78.5676,2.0918
Z016E0020,16,79.9566,80.948,1.2727
Z016E0021,16,79.102,79.4162,0.7014
Z016E0022,16,75.4323,76.6175,1.6775
Z016E0023,16,77.0967,79.6443,2.1296
Z016E0024,16,78.9474,80.775,1.7181
Z016E0025,16,80.4587,82.7791,2.7167
Z016E0026,16,78.0921,79.3159,1.3389
Z016E0027,16,76.8523,77.5257,0.8437
Z016E0028,16,77.6786,78.7184,1.6441
Z016E0029,16,79.857,81.8006,1.8841
Z016E0030,16,76.2819,78.0792,1.8391
Z016E0031,16,74.8418,76.822,2.0782
Z016E0032,16,76.7058,76.7031,0.073
Z016E0033,16,79.2691,81.4977,2.1349
Z016E0034,16,74.4527,76.2733,1.9546
Z016E0035,16,77.7015,79.237,1.8107
Z016E0036,16,80.6535,80.9764,0.8928
Z016E0037,16,80.3699,82.4275,1.6864
Z016E0038,16,79.3188,81.3606,1.9577
Z016E0039,16,77.5396,79.3294,1.8118
Z016E0040,16,76.8373,79.5592,2.3582
Z016E0041,16,83.735,85.0598,1.8171
Z016E0042,16,79.601,79.8696,0.6113
Z016E0043,16,78.0484,79.5526,1.8599
Z016E0044,16,75.3688,76.3892,1.3181
Z016E0046,16,76.9991,78.3245,1.6469
Z016E0047,16,78.1051,80.9747,2.4654
Z016E0048,16,79.3202,81.0599,2.0627
Z016E0049,16,78.0899,80.0003,2.0215
Z016E0050,16,77.8679,80.2728,2.197
Z016E0051,16,78.1444,79.5338,1.5118
Z016E0053,16,79.6999,81.4937,1.7911
Z016E0054,16,76.8812,78.7899,1.9246
Z016E0055,16,76.0407,78.0416,2.0023
