ID,population,days2anthesis,days2silk,asi
Z010E0001,10,76.953,78.1669,1.7855
Z010E0002,10,73.9029,75.5496,1.7305
Z010E0003,10,75.1595,75.9395,1.2193
Z010E0004,10,76.7817,78.7513,1.5228
Z010E0006,10,73.288,74.1424,0.9354
Z010E0007,10,71.3369,73.0838,1.8402
Z010E0008,10,75.359,75.8012,0.9378
Z010E0009,10,72.6603,73.2988,0.9334
Z010E0010,10,72.8581,76.7494,3.0174
Z010E0011,10,73.4511,75.4229,2.2977
Z010E0012,10,76.5266,78.2751,2.3283
Z010E0013,10,72.4396,73.8353,1.429
Z010E0015,10,73.6057,74.8948,1.2465
Z010E0016,10,73.0251,74.4446,1.5192
Z010E0017,10,75.1483,77.6002,2.2436
Z010E0018,10,77.3433,77.7975,0.7349
Z010E0019,10,75.3196,77.107,1.7964
Z010E0020,10,73.2449,74.7089,1.6607
Z010E0021,10,73.9879,74.7133,1.2486
Z010E0022,10,73.4764,76.8403,3.051
Z010E0023,10,73.4844,73.1568,0.439
Z010E0024,10,74.1082,75.2089,1.5812
Z010E0025,10,71.5746,71.7391,0.8061
Z010E0026,10,72.5943,73.1298,0.5997
Z010E0027,10,71.1235,71.8307,1.1217
Z010E0028,10,72.2479,73.2536,1.2432
Z010E0029,10,77.7012,77.4228,1.4182
Z010E0030,10,73.1112,74.4801,1.3202
Z010E0032,10,71.2486,73.2533,1.8014
Z010E0033,10,72.0381,73.2085,1.2633
Z010E0034,10,73.628,77.5152,3.2602
Z010E0035,10,75.0574,76.3072,1.5856
Z010E0036,10,74.5266,77.0898,2.5565
Z010E0037,10,72.1634,73.8163,1.7838
Z010E0038,10,73.2033,74.8128,1.6565
Z010E0039,10,73.1126,73.9483,1.2043
Z010E0040,10,71.7592,73.2388,1.7053
Z010E0041,10,72.8607,75.0145,2.0627
Z010E0042,10,72.6071,74.163,1.7681
Z010E0043,10,72.9495,73.5711,1.3881
Z010E0044,10,77.1589,78.8944,2.0775
Z010E0045,10,75.3384,77.2139,1.801
Z010E0046,10,72.9246,75.0251,2.0668
Z010E0047,10,73.6001,77.4765,3.5207
Z010E0048,10,72.5631,74.1076,1.7062
Z010E0049,10,70.7234,71.484,0.9539
Z010E0050,10,76.5879,78.6325,2.0972
Z010E0051,10,76.3665,77.2862,1.3243
Z010E0052,10,73.6906,77.5684,3.4114
Z010E0053,10,77.1061,79.249,1.8627
Z010E0054,10,76.8781,78.9596,1.6364
Z010E0055,10,73.9453,77.4849,3.0399
Z010E0056,10,75.3072,77.7632,2.268
Z010E0057,10,78.7007,79.4754,1.4413
Z010E0058,10,72.8783,73.7489,0.9042
Z010E0059,10,73.076,74.1871,1.2785
Z010E0060,10,73.2958,74.8907,1.467
Z010E0061,10,76.9117,80.5241,3.1447
Z010E0062,10,72.2849,74.9111,2.6019
Z010E0063,10,71.2639,71.9972,0.8834
Z010E0064,10,78.4286,80.5256,2.3198
Z010E0065,10,74.5627,77.0489,2.4346
Z010E0066,10,73.2463,73.5339,0.7971
Z010E0067,10,77.345,78.1935,2.4871
Z010E0068,10,76.4827,77.9898,1.7702
Z010E0069,10,74.1833,76.3738,2.2403
Z010E0070,10,72.7863,74.4956,1.7032
