ID,population,RBN,CL,RL,DTF3,FT16,FT10
9637,3,2.1369,9.2009,36.5659,85.2433,84.9214,84.5363
9638,3,,12.2808,42.8007,90.3556,90.0381,91.3206
9639,3,2.032,8.1966,43.3363,76.087,75.7681,81.2842
9640,3,4.466,10.4158,52.6391,83.5003,83.1767,95.6821
9641,3,4.6051,9.8106,48.8135,90.4843,90.1714,86.0535
9642,3,2.2273,11.9659,49.4713,88.7711,88.453,98.4295
9643,3,,9.3557,46.095,81.7364,81.4205,88.1268
9644,2,1.6943,14.4231,52.6609,79.6461,78.7151,82.7077
9645,2,1.6964,11.5543,65.2016,76.876,75.9487,83.4487
9646,9,6.37,10.157,37.6669,53.5915,53.6001,64.3574
9647,9,2.5695,6.5583,24.1607,53.3659,53.3738,69.5008
9648,9,8.6512,9.5011,34.4244,59.2515,59.2537,61.8609
9649,9,7.5362,9.602,37.3874,65.4373,65.4323,77.7535
9651,9,3.984,8.7542,29.5222,48.0726,48.0848,65.8718
9653,9,6.869,6.8096,19.5053,50.7956,50.7992,61.3183
9655,9,3.5758,12.2226,36.9272,69.8058,69.8134,80.4866
9656,9,3.4885,12.051,39.2769,87.0617,87.0654,79.8542
9657,9,8.2855,6.2145,22.1512,46.3186,46.3203,60.3365
9658,9,,9.6658,32.4884,64.7334,64.7397,72.975
9659,9,8.8593,10.7492,45.8696,64.8849,64.8877,72.9023
9660,9,3.2649,4.6382,16.3653,38.4979,38.5003,55.2914
9661,9,3.3656,5.3965,16.6467,40.4424,40.4451,57.1989
9663,1,6.1224,13.7259,50.5067,72.7882,72.8186,72.1078
9664,2,3.2584,15.3961,,119.9966,119.0575,91.4104
9665,2,,13.0494,44.4008,97.4105,96.4766,91.3687
9666,2,3.1856,15.231,57.2111,122.3524,121.4078,92.3716
9667,2,4.8402,19.604,64.4942,117.1111,116.164,94.4575
9668,2,,11.822,48.2147,90.4507,89.5201,88.5647
9669,2,,15.4194,55.611,96.7572,95.8226,87.0772
9670,2,3.1728,13.9578,45.5136,122.8836,121.9366,110.8607
9671,2,,13.9195,48.3582,105.6313,104.6951,96.325
9672,2,2.7152,16.5531,51.376,101.2207,100.2835,91.3615
9673,2,5.0285,13.902,48.7269,110.2632,109.3304,93.4205
9676,2,2.2343,12.4172,67.8578,99.8409,98.9168,93.5123
9677,2,,11.4879,81.5379,120.8345,119.8871,87.7335
9678,2,,10.3722,51.1385,97.7196,96.7836,75.2847
